Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1766860,Undirected,97,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5667427,Undirected,98,,1,surgeon,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5667430,Undirected,99,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21505738,Undirected,100,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2835195,Undirected,101,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q27094736,Undirected,102,,1,politician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75804,Undirected,103,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4227549,Undirected,104,,1,paleontologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6382619,Undirected,105,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21519094,Undirected,106,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q96682,Undirected,107,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68949,Undirected,108,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q160627,Undirected,109,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611291,Undirected,110,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21506804,Undirected,111,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13503738,Undirected,112,,1,biologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q460241,Undirected,113,,1,editor,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1340280,Undirected,114,,1,diplomat,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2129941,Undirected,115,,1,illustrator,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q545888,Undirected,116,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16031427,Undirected,117,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5670001,Undirected,118,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16529123,Undirected,119,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2839202,Undirected,120,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q40987895,Undirected,121,,1,gardener,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21608621,Undirected,122,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q36513112,Undirected,123,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2839791,Undirected,124,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q962094,Undirected,125,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q448279,Undirected,126,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19002102,Undirected,127,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q23788270,Undirected,128,,1,jurist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q449930,Undirected,129,,1,curator,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q76851,Undirected,130,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611699,Undirected,131,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2373009,Undirected,132,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21514254,Undirected,133,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4753777,Undirected,134,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q491270,Undirected,135,,1,zoologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5675238,Undirected,136,,1,teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63760,Undirected,137,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q88825065,Undirected,138,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21522248,Undirected,139,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q76049,Undirected,140,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q765336,Undirected,141,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16143738,Undirected,142,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21520106,Undirected,143,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21606783,Undirected,144,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q508817,Undirected,145,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2275029,Undirected,146,,1,curator,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5675461,Undirected,147,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2467467,Undirected,148,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2848440,Undirected,149,,1,Catholic priest,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19001839,Undirected,150,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8200245,Undirected,151,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18987020,Undirected,152,,1,botanist,occupation
