Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q362245,Undirected,138,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4798733,Undirected,139,,1,Republic of Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611254,Undirected,140,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5706975,Undirected,141,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q674391,Undirected,142,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21391745,Undirected,143,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2865378,Undirected,144,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16647536,Undirected,145,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18986716,Undirected,146,,1,Finland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2748897,Undirected,147,,1,Argentina,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347356,Undirected,148,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1100833,Undirected,149,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q216437,Undirected,150,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q17310399,Undirected,151,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8209106,Undirected,152,,1,Argentina,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5711523,Undirected,153,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q97066,Undirected,154,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q88867,Undirected,155,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8209021,Undirected,156,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q762998,Undirected,157,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q216034,Undirected,158,,1,German Reich,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q78951,Undirected,159,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21505705,Undirected,160,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q766644,Undirected,161,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q440696,Undirected,162,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21516637,Undirected,163,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q707961,Undirected,164,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q123057,Undirected,165,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2585626,Undirected,166,,1,Republic of Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4080467,Undirected,167,,1,Spain,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5711791,Undirected,168,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21607891,Undirected,169,,1,Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4316797,Undirected,170,,1,Norway,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4978631,Undirected,171,,1,Israel,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q9644491,Undirected,172,,1,Brazil,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2356897,Undirected,173,,1,Australia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5721243,Undirected,174,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2695559,Undirected,175,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21613265,Undirected,176,,1,Turkey,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q813055,Undirected,177,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q536946,Undirected,178,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4888621,Undirected,179,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q91498,Undirected,180,,1,Kingdom of Saxony,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2897760,Undirected,181,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q604992,Undirected,182,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q823024,Undirected,183,,1,Uruguay,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q71081,Undirected,184,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q216432,Undirected,185,,1,Chile,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1458423,Undirected,186,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64899,Undirected,187,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4895745,Undirected,188,,1,India,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16537579,Undirected,189,,1,New Zealand,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2909327,Undirected,190,,1,Poland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5732192,Undirected,191,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2910947,Undirected,192,,1,Russian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q893705,Undirected,193,,1,Soviet Union,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6397749,Undirected,194,,1,Bulgaria,nationality
